Red Fighter,Blue Fighter,Predicted Result,Probability
Jeremiah Wells,Matthew Semelsberger,win,0.523650727917857
Bobby Green,Jared Gordon,win,0.5549315965151919
Brad Tavares,Bruno Silva,loss,0.5445234392144697
Sergei Pavlovich,Curtis Blaydes,loss,0.6138900684814098
Cody Durden,Charles Johnson,win,0.5734133955474472
Martin Buday,Jake Collier,win,0.542265336247618
Marcos Rogerio de Lima,Waldo Cortes-Acosta,win,0.6004617911316776
Rodolfo Vieira,Cody Brundage,win,0.6105946208318721
Caio Borralho,Michal Oleksiejczuk,win,0.5035626738361454
Song Yadong,Ricky Simon,loss,0.6709344056653993
Kennedy Nzechukwu,Devin Clark,win,0.7149081067824735
Drew Dober,Matt Frevola,loss,0.5211391306230246
Kron Gracie,Charles Jourdain,loss,0.6790441830637367
Belal Muhammad,Gilbert Burns,win,0.5774648575358461
Aljamain Sterling,Henry Cejudo,win,0.6547526674806271
Bryan Battle,Gabe Green,win,0.5226575908652817
Cody Stamann,Douglas Silva de Andrade,win,0.5552963683326944
Matt Brown,Court McGee,loss,0.5209036874139712
Tim Means,Alex Morono,loss,0.5802027460730388
Carlos Ulberg,Ihor Potieria,win,0.7383841383464991
Daniel Rodriguez,Ian Garry,win,0.5138914817473497
Anthony Smith,Johnny Walker,win,0.5455407525465217
Jairzinho Rozenstruik,Jailton Almeida,loss,0.6637518658992183
Ilir Latifi,Rodrigo Nascimento,loss,0.5206547220675528
Maheshate,Viacheslav Borshchev,loss,0.5801933700526427
Diego Ferreira,Michael Johnson,win,0.5386191897712839
Andre Fialho,Joaquin Buckley,loss,0.6120654808060104
Edmen Shahbazyan,Anthony Hernandez,loss,0.5578669266071411
Philipe Lins,Maxim Grishin,loss,0.557502565649278
Andrei Arlovski,Don'Tale Mayes,win,0.5756286916481899
Daniel Santos,Johnny Munoz,loss,0.556614151688231
Abubakar Nurmagomedov,Elizeu Zaleski dos Santos,loss,0.5313464983413938
Tim Elliott,Victor Altamirano,loss,0.6408503607663731
Alex Caceres,Daniel Pineda,win,0.6618077104540674
Kai Kara-France,Amir Albazi,loss,0.5448807545281066
Aiemann Zahabi,Aoriqileng,win,0.6272670283916465
Nassourdine Imavov,Chris Curtis,win,0.5956351541746758
