Red Fighter,Blue Fighter,Predicted Result,Probability,Actual Result
Darren Elkins,Tristan Connelly,win,0.5145260792901496,win
Jared Gordon,Grant Dawson,win,0.6549951055059511,loss
Andrei Arlovski,Jake Collier,loss,0.6462944001979339,win
Rob Font,Marlon Vera,win,0.7003307217520182,loss
Blagoy Ivanov,Marcos Rogerio de Lima,loss,0.5864645473556217,win
Brandon Royval,Matt Schnell,win,0.6849988689407385,win
Francisco Trinaldo,Danny Roberts,win,0.5949160914115034,win
Randy Brown,Khaos Williams,win,0.7441092182990067,win
Mauricio Rua,Ovince Saint Preux,win,0.7259800928616303,loss
Michael Chandler,Tony Ferguson,win,0.576066144264313,win
Charles Oliveira,Justin Gaethje,win,0.6975634706303825,win
Nick Maximov,Andre Petroski,loss,0.7076948987194327,loss
Michael Johnson,Alan Patrick,loss,0.5610847417224767,win
Davey Grant,Louis Smolka,loss,0.7142002226596741,win
Ryan Spann,Ion Cutelaba,win,0.6262627315871914,win
Jan Blachowicz,Aleksandar Rakic,loss,0.7590633325002123,win
Chase Hooper,Felipe Colares,loss,0.7013537830364945,win
Jonathan Martinez,Vince Morales,win,0.7379450113410032,win
Omar Morales,Uros Medic,win,0.5164530519035438,loss
Eryk Anders,JunYong Park,loss,0.5590958115210218,loss
Santiago Ponzinibbio,Michel Pereira,loss,0.6587276230151226,loss
Jeff Molina,Zhalgas Zhumagulov,win,0.6319492930951769,win
Johnny Munoz,Tony Gravely,win,0.6961599091566834,loss
Joe Solecki,Alex Da Silva,win,0.6227466147983091,win
Ode Osbourne,Zarrukh Adashev,loss,0.7699643432021043,win
Dan Ige,Movsar Evloev,loss,0.8563510147096755,loss
Alexander Volkov,Jairzinho Rozenstruik,loss,0.5429124126943207,win
Kyung Ho Kang,Batgerel Danaa,win,0.8028637536112087,win
Brendan Allen,Jacob Malkoun,win,0.5241196158465796,win
SeungWoo Choi,Josh Culibao,loss,0.713138660092728,loss
Andre Fialho,Jake Matthews,loss,0.5823789587686377,loss
Glover Teixeira,Jiri Prochazka,loss,0.7764100999110306,loss
Roman Dolidze,Kyle Daukaus,win,0.7223926310377723,win
Phil Hawes,Deron Winn,win,0.7749856392404761,win
Eddie Wineland,Cody Stamann,loss,0.7221999432993689,loss
Ricardo Ramos,Danny Chavez,win,0.6795948655772344,win
Court McGee,Jeremiah Wells,win,0.5253637918661085,loss
Adrian Yanez,Tony Kelley,win,0.5436229412094232,win
Julian Marquez,Gregory Rodrigues,win,0.7090085407308645,loss
Tim Means,Kevin Holland,win,0.6433919858994418,loss
Calvin Kattar,Josh Emmett,win,0.763892527487379,loss
Brian Kelleher,Mario Bautista,loss,0.7426118807954989,loss
JP Buys,Cody Durden,loss,0.71988255794289,loss
Raulian Paiva,Sergey Morozov,loss,0.6293891827564047,loss
Shayilan Nuerdanbieke,TJ Brown,loss,0.5911093279274475,win
Carlos Ulberg,Tafon Nchukwi,loss,0.5037731287090542,win
Chris Curtis,Rodolfo Vieira,win,0.5269647845568709,win
Nate Maness,Umar Nurmagomedov,win,0.580996941591618,loss
Thiago Moises,Christos Giagos,win,0.5321210581596103,win
Josh Parisian,Alan Baudot,loss,0.6453809120766687,win
Neil Magny,Shavkat Rakhmonov,loss,0.7483808534196108,loss
Arman Tsarukyan,Mateusz Gamrot,win,0.8025386423750744,loss
Uriah Hall,Andre Muniz,win,0.688850794476523,loss
Brad Tavares,Dricus Du Plessis,loss,0.6957777534405102,loss
Ian Garry,Gabe Green,win,0.5871254551345628,win
Jim Miller,Donald Cerrone,win,0.6395814679775893,win
Brad Riddell,Jalin Turner,loss,0.6105669539676041,loss
Pedro Munhoz,Sean O'Malley,loss,0.7609596256489588,draw
Robbie Lawler,Bryan Barberena,loss,0.663876886643172,loss
Sean Strickland,Alex Pereira,win,0.6599859561022787,loss
Alexander Volkanovski,Max Holloway,win,0.8043626666825278,win
Israel Adesanya,Jared Cannonier,win,0.8425833544735976,win
Kennedy Nzechukwu,Karl Roberson,loss,0.654669968892142,win
Michael Johnson,Jamie Mullarkey,loss,0.565014190956072,loss
Jared Vanderaa,Chase Sherman,win,0.5735789501159196,loss
Douglas Silva de Andrade,Said Nurmagomedov,loss,0.6727185818661452,loss
Rafael Dos Anjos,Rafael Fiziev,win,0.6839328194539634,loss
Dwight Grant,Dustin Stoltzfus,loss,0.5470988112958347,loss
Dustin Jacoby,Da Woon Jung,win,0.6196235865143546,win
Bill Algeo,Herbert Burns,win,0.8503868544132985,win
Ricky Simon,Jack Shore,win,0.689148527088842,win
Punahele Soriano,Dalcha Lungiambula,win,0.6288341991909413,win
Shane Burgos,Charles Jourdain,win,0.5826856225122341,win
Matt Schnell,Sumudaerji,loss,0.5798757624812716,win
Li Jingliang,Muslim Salikhov,loss,0.7140982016071016,win
Brian Ortega,Yair Rodriguez,win,0.6521679211365544,loss
Claudio Silva,Nicolas Dalby,win,0.5556769702786457,loss
Jai Herbert,Kyle Nelson,win,0.549437025462567,win
Makwan Amirkhani,Jonathan Pearce,loss,0.5642111481865419,loss
Nathaniel Wood,Charles Rosa,win,0.8787143015803228,win
Marc Diakiese,Damir Hadzovic,win,0.5969714171799412,win
Mason Jones,Ludovit Klein,loss,0.5295586213245632,loss
Paul Craig,Volkan Oezdemir,loss,0.5403683213323546,loss
Nikita Krylov,Alexander Gustafsson,win,0.7285608371679225,win
Paddy Pimblett,Jordan Leavitt,loss,0.6786261434574435,win
Jack Hermansson,Chris Curtis,win,0.5470311123156499,win
